Hora JP;Hora PT;Modalidade;Atleta;Ronda/Adversário
10:40:00;02:40:00;Canoagem;Teresa Portela;K1 500 (Q)
11:14:00;03:15:00;Canoagem;Joana Vasconcelos;K1 500 (Q)
12:50:00;04:50:00;Canoagem;Joana Vasconcelos;K1 500 (QF)
12:50:00;04:50:00;Canoagem;Teresa Portela;K1 500 (QF)
14:30:00;06:30:00;Ténis de mesa;Equipa masculina;Meias-finais
14:30:00;06:30:00;Vela;Diogo Costa;470 (medal race)
14:30:00;06:30:00;Vela;Pedro Costa;470 (medal race)
19:00:00;11:00:00;Equestre;Luciana Diniz;Obstáculos (F)
19:00:00;11:00:00;Atletismo;Marta Pen Freitas;1500m (MF)
19:00:00;11:00:00;Atletismo;Salomé Afonso;1500m (MF)
19:30:00;11:30:00;Atletismo;Cátia Azevedo;400m (M)
06:30:00;22:30:00 (-1);Natação;Angélica André;Águas abertas
