Hora JP;Hora PT;Modalidade;Atleta;Ronda/Adversário
09:35:00;01:35:00;Atletismo;Salomé Afonso;1500m (E)
09:37:00;01:37:00;Canoagem;Joana Vasconcelos;K1 200 (Q)
09:51:00;01:51:00;Canoagem;Teresa Portela;K1 200 (Q)
09:59:00;01:59:00;Atletismo;Marta Pen Freitas;1500m (E)
10:30:00;02:30:00;Atletismo;Lorene Bazolo;200 m (E)
10:37:00;02:37:00;Canoagem;Fernando Pimenta;K1 1000 (Q)
12:00:00;04:00:00;Canoagem;Joana Vasconcelos;K1 200 (QF)
12:00:00;04:00:00;Canoagem;Teresa Portela;K1 200 (QF)
12:37:00;04:37:00;Canoagem;Fernando Pimenta;K1 1000 (QF)
14:33:00;06:33:00;Vela;Diogo Costa e Pedro Costa;470, regata 9
15:33:00;07:33:00;Vela;Diogo Costa e Pedro Costa;470, regata 10
15:33:00;07:33:00;Vela;Jorge Lima e José Costa;49er (medal race)
19:25:00;11:25:00;Atletismo;Lorene Bazolo;200 m (MF)
20:00:00;12:00:00;Atletismo;Liliana Cá;Disco (F)
