Dia,Hora JP,Hora PT,Modalidade,Atleta,Ronda/Adversário
25/07/21,10:00:00,2:00:00,Remo,Pedro Fraga e Afonso Costa,Double Scull peso ligeiro (RP)
25/07/21,10:20:00,2:20:00,Surf,Teresa Bonvalot,Ronda 1
25/07/21,10:58:00,2:58:00,Skate,Gustavo Ribeiro,Street (Q)
25/07/21,11:30:00,3:30:00,"Judo (-52 kg, 1.ª ronda)",Joana Ramos,vs. Angelica Delgado
25/07/21,12:00:00,4:00:00,Vela,Carolina João,Laser radial
25/07/21,12:25:00,4:25:00,Skate,Gustavo Ribeiro,Street (F)
25/07/21,13:00:00,5:00:00,Surf,Yolanda Sequeira,Ronda 1
25/07/21,14:45:00,6:45:00,Ténis de mesa (2.ª ronda),Shao Jieni ,vs. Yu Mengyu
25/07/21,15:00:00,7:00:00,Surf,Yolanda Sequeira,Repescagens
25/07/21,15:10:00,7:10:00,Ginástica,Filipa Martins,All Around
25/07/21,17:00:00,9:00:00,Ténis (1.ª ronda ind.),João Sousa,vs. Tomas Machac
25/07/21,19:54:00,11:54:00,Natação,Francisco Santos,100m costas (Q)
25/07/21,21:33:00,13:33:00,Equestre,João Miguel Torrão,Ensino dia 2
